사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,2호선,39,봉천,70,1,12888,1158,23325,5641,64508,8378,100646,21105,57687,15808,30200,15207,24646,16144,25683,18602,26739,20663,23844,23357,23328,29801,23042,32903,23867,44946,26663,74508,15271,64516,13525,40823,13194,48751,5615,20508,2014,9073,3,129,0,0,0,1,0,0
2021-01,2호선,40,신림,201,5,32431,3151,62867,16058,169189,26855,259505,50025,152632,42542,76710,35268,64159,37026,66910,44722,66805,51857,61260,59453,60235,74671,63885,88559,67801,124562,68317,211632,44074,187718,46143,116451,45473,142690,18634,66030,6179,29890,6,236,0,0,0,0,0,0
2021-01,2호선,41,신대방,70,3,20315,1335,30015,7606,71291,14494,107000,26455,62853,17618,33376,13986,27043,15228,26974,18121,26909,20203,23924,23751,23159,30791,24585,36247,27434,51222,32127,81829,17645,69384,14057,46918,12115,64874,5998,28083,1977,11687,0,106,0,0,0,1,0,0
2021-01,2호선,42,구로디지털단지,149,3,31848,4770,45017,21267,111142,69658,154198,211123,92286,127296,51478,48906,45411,38770,48793,40228,51787,45958,49036,47016,50311,55875,60112,61801,105315,90648,186197,136745,93693,110343,61018,69837,55066,89145,19572,38694,5003,16148,4,148,0,0,0,0,0,0
2021-01,2호선,43,대림(구로구청),278,4,26679,2690,25802,8910,52499,19302,77458,48404,48077,29840,27579,23279,22826,24441,25841,24396,26406,25933,25947,26937,25781,32800,27314,35563,35561,49828,46182,59641,23590,44069,16312,32330,14537,51905,6058,21753,2214,7978,4,248,0,0,0,0,0,0
2021-01,2호선,44,신도림,2984,27,28214,3882,39228,13979,103882,32846,111254,96437,67798,54742,44424,48916,43293,43198,48930,45396,52292,48752,51890,49758,53860,55961,60532,61324,74112,80508,104728,127652,60575,100042,56733,57976,51499,71636,12665,30440,3878,15027,11,3057,0,0,0,0,0,0
2021-01,2호선,45,문래,13,0,2986,1602,9964,8132,33418,29947,37298,103191,20696,49622,14132,18982,13356,15464,15785,15547,17036,16894,17692,16314,19397,16034,24257,18335,46487,24342,87393,40815,30471,30045,24147,16985,23175,19357,6196,8200,1806,3572,1,101,0,0,0,0,0,0
2021-01,2호선,46,영등포구청,12,0,4385,2330,10381,11899,31770,30943,38069,105793,22833,47759,17381,23178,18433,19031,20055,19587,21577,22020,23041,21279,25362,20790,28820,22512,45290,27760,91649,43179,33147,30065,26573,17361,25677,21451,7801,9168,2686,4495,2,202,0,0,0,1,0,0
2021-01,2호선,47,당산,19,1,4792,2138,13516,9641,35071,21563,42891,64173,25738,31172,16216,15874,15537,14023,17031,15344,17639,16789,17103,17379,17593,18963,20736,22882,30118,32747,49418,54310,21964,37766,18626,24476,20165,30772,7108,11361,2284,5877,2,227,0,0,0,0,0,0
2021-01,2호선,48,합정,29,1,5598,2176,13091,11440,34216,27302,44823,73663,28586,61655,19558,33315,20170,30479,23608,33047,27337,37041,29146,35081,31849,35247,36819,40281,53698,50875,86716,71123,55491,47868,49632,25439,58644,28488,17877,13034,5557,6395,2,317,0,0,0,0,0,0
2021-01,2호선,49,홍대입구,193,1,7898,2533,15819,11408,44933,24093,58939,76180,37703,83069,26844,56525,32137,57859,38936,70058,45124,80111,49711,81817,59251,82335,72798,84489,93608,92080,116151,113734,89920,71848,108824,37811,129324,39748,28431,19074,7670,9310,58,1312,0,0,0,0,0,0
2021-01,2호선,50,신촌,31,1,3737,2262,9291,12666,25098,25997,35756,56934,25315,65169,23707,42706,28384,37804,33878,42420,35055,48520,38488,44595,45878,41479,55174,42105,65969,49441,67269,67573,47473,43890,60651,23856,55762,28646,17949,12957,5623,5973,1,88,0,0,0,0,0,0
2021-01,2호선,51,이대,26,0,2005,1138,5077,9154,15255,8737,19888,23013,12520,20082,8803,14579,9915,12433,11470,13153,13518,15295,13438,14406,15188,14013,20855,13583,25816,16371,23797,23280,13714,17660,12855,11150,11638,14311,4843,6763,1695,3109,2,78,0,0,0,0,0,0
2021-01,2호선,52,아현,12,0,3592,1089,8442,6558,21410,6673,29763,13549,17181,10425,11832,7738,11666,7777,12527,8488,12469,9494,11628,10393,11758,11929,14834,13091,14246,18167,14857,27510,8583,21445,6475,13887,5374,16872,2293,7303,676,3164,1,24,0,0,0,0,0,0
